smiles,valid,mw,n_rot,n_arom,psuedo_groups,fingerprint,subset
N[C@@H](CC(=O)C1=CC=CC2=C1N=C1C(=CC(=O)C3=NC(C(=O)O)=CC(O)=C13)O2)C(=O)O,True,423.33700000000016,3,2,COC(=O)c1cc(O)c2c3nc4c(C(=O)C[C@H](N)C(=O)OC)cccc4oc-3cc(=O)c2n1,[0. 1. 0. ... 0. 0. 0.],mono
COC1=CC=C(C2=CC(=O)C3=C(O)C=C(O)C=C3O2)C=C1,True,284.267,2,3,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC2=CC=C3C=C(O)C=CC3=C2C(OC)=C1O,True,270.28399999999993,2,3,COc1cc2ccc3cc(O)ccc3c2c(OC)c1O,[0. 0. 0. ... 0. 0. 0.],di
O=C1C=C(C2=CC=CC=C2)OC2=CC(O)=CC(O)=C12,True,254.24099999999999,1,3,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,[0. 0. 0. ... 0. 0. 0.],di
CC1=CC(O)=CC(O)=C1,True,124.13899999999997,0,1,Cc1cc(O)cc(O)c1,[0. 0. 0. ... 0. 0. 0.],di
O=C1C=CC2=CC(O)=C(O)C=C2O1,True,178.143,0,2,O=c1ccc2cc(O)c(O)cc2o1,[0. 0. 0. ... 0. 0. 0.],di
O=C1OC2=CC(O)=CC=C2C2=C1C1=CC=C(O)C=C1O2,True,268.224,0,4,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC=C(C2=COC3=CC(O)=CC(O)=C3C2=O)C=C1,True,284.267,2,3,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,[0. 0. 0. ... 0. 0. 0.],di
NC1=NC=NC2=C1N=CN2,True,135.13,0,2,Nc1ncnc2[nH]cnc12,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC(O)=C2C(=O)OC3=CC(O)=CC(C)=C3C2=C1,True,272.256,1,3,COc1cc(O)c2c(=O)oc3cc(O)cc(C)c3c2c1,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC(O)=C2C(O)=C3C(=O)C=C(C)OC3=CC2=C1,True,272.256,1,3,COc1cc(O)c2c(O)c3c(=O)cc(C)oc3cc2c1,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC(O)=CC2=CC=C3C=C(O)C=CC3=C12,True,240.25799999999998,1,3,COc1cc(O)cc2ccc3cc(O)ccc3c12,[0. 0. 0. ... 0. 0. 0.],di
OC1=CC=CC(O)=C1,True,110.11199999999998,0,1,Oc1cccc(O)c1,[0. 0. 0. ... 0. 0. 0.],di
O=C1C2=CC=C(O)C=C2OC2=CC=CC(O)=C12,True,228.20299999999997,0,3,O=c1c2ccc(O)cc2oc2cccc(O)c12,[0. 0. 0. ... 0. 0. 0.],di
COC1=C(O)C=CC2=C1OC1=CC=CC(O)=C1C2=O,True,258.229,1,3,COc1c(O)ccc2c(=O)c3c(O)cccc3oc12,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC2=C(C=C1O)OC1=CC=CC(O)=C1C2=O,True,258.229,1,3,COc1cc2c(=O)c3c(O)cccc3oc2cc1O,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC=C(O)C2=C1OC1=CC=C(O)C=C1C2=O,True,258.229,1,3,COc1ccc(O)c2c(=O)c3cc(O)ccc3oc12,[0. 0. 0. ... 0. 0. 0.],di
OC1=CC=CC=C1O,True,110.11199999999998,0,1,Oc1ccccc1O,[0. 0. 0. ... 0. 0. 0.],di
OC1=CC(O)=CC(C=CC2=CC=CC=C2)=C1,True,212.248,2,2,Oc1cc(O)cc(C=Cc2ccccc2)c1,[0. 0. 0. ... 0. 0. 0.],di
O=C1OC2=CC(O)=CC=C2C2=CC=C(O)C=C12,True,228.20299999999997,0,3,O=c1oc2cc(O)ccc2c2ccc(O)cc12,[0. 0. 0. ... 0. 0. 0.],di
COC1=C(O)C=C(O)C2=C1OC(C1=CC=CC=C1)=CC2=O,True,284.267,2,3,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,[0. 0. 0. ... 0. 0. 0.],di
COC1=C(O)C=C2OC(C3=CC=CC=C3)=CC(=O)C2=C1O,True,284.267,2,3,COc1c(O)cc2oc(-c3ccccc3)cc(=O)c2c1O,[0. 0. 0. ... 0. 0. 0.],di
O=C1N=CNC2=C1NC=N2,True,136.11399999999998,0,2,O=c1nc[nH]c2nc[nH]c12,[0. 0. 0. ... 0. 0. 0.],di
CC1=CC2=NC3=C(N=C2C=C1C)C(=O)NC(=O)N3,True,242.23800000000003,0,3,Cc1cc2nc3[nH]c(=O)[nH]c(=O)c3nc2cc1C,[0. 0. 0. ... 0. 0. 0.],di
COC1=CC2=C(C(O)=C1O)C(=O)C=C(C1=CC=CC=C1)O2,True,284.267,2,3,COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1O,[0. 0. 0. ... 0. 0. 0.],di
